GraphID,riskBasedDefence,defenceInDepth,behavioralDefender,minCut,betweennessCentralityWithInDegreeNodes,betweennessCentralityWithAdjacentNodes,betweennessCentralityWithMarkovBlanket,betweennessCentralityWithMinCut,harmonicCentralityWithInDegreeNodes,harmonicCentralityWithAdjacentNodes,harmonicCentralityWithMarkovBlanket,harmonicCentralityWithMinCut,degreeCentralityWithInDegreeNodes,degreeCentralityWithAdjacentNodes,degreeCentralityWithMarkovBlanket,degreeCentralityWithMinCut,katzCentralityWithInDegreeNodes,katzCentralityWithAdjacentNodes,katzCentralityWithMarkovBlanket,katzCentralityWithMinCut,TRCentralityWithInDegreeNodes,TRCentralityWithAdjacentNodes,TRCentralityWithMinCut,PRCentralityWithInDegreeNodes,PRCentralityWithAdjacentNodes,PRCentralityWithMarkovBlanket,PRCentralityWithMinCut
graph470,5.8581569391435595,5.8581569391435595,5.85815693914359,25.584876667418204,28.44767315878927,15.278515460180797,10.070534614656346,24.525297087118354,34.63284513508128,18.255530079840593,12.318712802234508,29.49541736627934,32.07825346732522,16.90419265850843,11.37449185806118,27.160676058612125,35.27567929913851,19.18623290124971,12.805775187209303,29.638603864100805,35.34568336220118,19.197699975591796,29.723579174261232,32.80577587349032,17.227333223046738,11.784557038889279,27.891968502339143
graph229,5.109379408580369,5.109379408580369,5.109379408580409,11.960779545312098,16.891587606149074,11.543084673377088,8.332168287022045,11.585735016308298,17.931143382254593,12.754912956649028,9.281461479791004,12.886325834904907,16.86063961028347,11.995937833293235,8.605401608673498,11.407016305988837,18.07126553652141,13.013930629583168,9.468737995726137,13.117027473253087,18.079594847758226,13.021161480998192,13.142217480795296,17.784451445751422,12.908457363831072,9.377861439792575,12.886757463716986
graph228,28.750547483476506,28.750547483476506,28.750547483476506,75.21942500110363,99.87273661986603,96.43260066527475,93.71243418371198,75.21942500110363,99.87273661986603,96.43260066527475,93.71243418371198,75.21942500110363,99.87273661986603,96.43260066527475,93.71243418371198,75.21942500110363,99.87273661986603,96.43260066527475,93.71243418371198,75.21942500110363,99.87273661986603,96.43260066527475,75.21942500110363,99.87273661986603,96.43260066527475,93.71243418371198,75.21942500110363
graph227,8.9516596983004,8.9516596983004,8.951659698300436,22.034606297338296,31.797516680856504,19.875695326079736,14.43025335226221,22.4966490718574,32.33577948029392,19.314450203235612,13.958359226590428,22.932228043388594,32.185264361562396,19.244523480560964,13.946892116327577,22.653239439898517,32.26696056690652,19.774897193293796,14.11058047375941,22.833833600152673,32.26895219398367,19.7140575856112,22.844899481618214,27.045643875124846,19.632609778745895,13.167806409137297,19.5330463802934
graph469,4.453400282002907,4.453400282002907,4.453400282002907,11.771410019169835,21.58445428187769,13.322846119499493,10.637273896590054,12.610531074223786,21.144447451792388,12.944012495926696,10.04438697400128,12.918679919023681,21.515946101715883,13.40239396088366,10.346065027842148,12.39385883703566,21.25403063982562,13.359300765845525,10.283157754641893,12.60799065027642,21.24548460589059,13.326260947317097,12.651672677510964,19.17175781074202,12.741564103790123,9.586240521615316,11.410558223369817
graph226,8.65934259365754,8.65934259365754,8.659342593657579,23.402973365587627,32.75798606812268,20.1901918356488,15.877605069395893,23.656710529429837,34.97951632173264,21.14486956953883,16.44685246326543,25.00462242863417,34.14905485578958,20.9764232061175,16.135915351841064,23.84906521327707,34.909619327897985,21.281201366021264,16.630482426147967,24.8332136602156,34.85371004946926,21.25244120729144,24.825786774000417,36.011582229916925,22.074149996316255,17.42272462103538,25.37016878105521
graph468,4.21153977884192,4.21153977884192,4.21153977884192,30.651617471547837,35.46847820416198,19.44547922456384,17.178338360414045,25.17827128312387,43.023247587690435,23.6089527782024,19.013654912864688,34.96441965407435,40.0120831365059,21.488435922112263,17.7111162207524,30.728255854699853,43.143138950834725,23.94170148940441,19.16947054228156,35.510586172406626,43.18318614671682,24.00431433690123,35.61160269034981,40.918195805932186,23.237860966549306,18.007171480053415,34.194234434421375
graph225,47.542207406000166,47.542207406000166,47.54220740600016,62.43568302703109,23.824749663689897,14.757162749229208,14.741164179417094,10.822383191045198,25.575195913118986,23.18625066184744,22.786103047678647,18.685762367576615,91.92502617971971,89.16319767781042,85.87138677697078,43.65299062173888,97.33393956393012,92.99080681422271,88.55873717428693,50.48058925208074,97.35155499329053,92.97910020682093,50.491277004066404,97.76716567282978,94.13841892950136,89.47910870705364,53.48037193182713
graph467,6.234436384311254,6.234436384311254,6.234436384311341,18.173127318672122,27.495820557354666,14.756590762818583,12.447904415259037,17.99732596395228,26.5406534900121,14.17999026609694,12.054382904587936,19.063437589501778,26.69432547940972,14.230162557001494,11.946003950602073,18.33753312053528,26.269509883891384,14.113763435778818,12.041489834759975,18.959792882695048,26.261595774381945,14.118451187072163,18.962143487027916,27.84343512492423,15.137188624192458,12.639224588390856,20.747479588880317
graph224,4.815968129971922,4.815968129971922,4.815968129971922,23.989319647067386,38.42204050537445,22.144926153259114,19.973071345257697,24.82667023420095,36.986757321751526,21.622648584124953,19.695695511656726,24.20217881713126,37.15129435188877,21.67418687983127,19.446096478430956,23.594623594612287,37.77913079503688,22.22340258361658,20.257143718149358,24.45511008683679,37.72975109602611,22.193297114261902,24.462619223914363,37.66595218076201,22.06830383091816,19.78008420616779,23.632762113689367
graph466,37.28169045269756,37.28169045269756,37.281690452697525,33.44256499442581,69.31904834067035,61.85212700468667,54.33108699462272,33.21345501965252,57.396394954387844,51.7602511236979,45.61343943883579,26.432235073362047,63.2402161189046,57.36103911894952,50.142812238375356,30.298506888692238,58.66996166167189,52.3092413347976,46.49079369918937,26.342348793261156,58.47224376039142,52.1345551377773,26.26368362723925,55.77049810821809,48.97252720220763,45.771858924943125,24.233440095810522
graph223,29.935466896643586,29.935466896643586,29.935466896643586,53.747162542973385,85.70813821783291,71.66399064530988,47.21311847345401,43.48464608055071,85.18041261611216,68.86033637261853,48.84706333046084,42.476679628469505,89.31613251797395,74.84971495612194,54.59357683110858,44.73412086412026,90.07024780018486,75.30088369542555,56.92077585089501,45.60777542376152,90.09605000475118,75.40724336118939,45.676778796889735,59.30072363649198,35.477896409371915,19.30232429108523,27.081450510591754
graph465,7.934831281139141,7.934831281139141,7.934831281139141,19.343237496721084,33.367827101569084,20.52869282004908,15.798794371677992,18.06160734616589,33.14899179725897,20.918710152600433,14.956386950560516,20.138643446030983,33.44129410683572,20.975101217738327,15.237675713875069,19.324896528865697,32.345629065190295,20.788390402495217,14.62441692325406,20.153168107062783,32.35975680025328,20.805611145733767,20.18992228973854,31.43934471212418,20.21798733277186,14.113195242781046,22.113596614666978
graph222,11.041580209057063,11.041580209057063,11.041580209057097,40.70926787727805,73.03889429995584,45.53311018546073,33.165640323277586,46.78950632937877,61.898670776270556,34.84298347349642,24.485017316029186,39.91838166200788,68.47943776166736,40.24160983106203,28.98699349718705,43.62393367403571,58.68157760175411,32.23120115442456,22.132213753616462,37.74957930880848,58.5548383614939,32.14299868490938,37.706911332962356,55.297828347958486,31.02306461746248,23.706524929211962,35.58178123162857
graph464,4.562357327509609,4.562357327509609,4.562357327509609,13.962986958144702,21.19523312940829,12.447357051003051,9.814941474139664,13.859225717089021,20.77225630087769,11.72468918283808,9.084434409265826,14.83922694878328,21.10191601026777,12.051539697829208,9.475544593786312,14.436221029308271,20.441947983383237,11.666222598918987,8.983478276834212,14.585430588286888,20.430437462412403,11.65391919560643,14.62075989678899,19.592448229935382,11.277916902502106,8.71853508845305,13.828671178540612
graph221,4.334076492405732,4.334076492405732,4.334076492405732,16.108509588881805,26.21822794476863,15.171634915114732,11.657140200196357,16.110563785273847,26.162549954605307,14.298611120227445,11.210259364762095,18.260908018863166,26.49583859123859,14.759921029310977,11.479282120845442,17.467011858536534,25.66007641200277,14.174533937291727,11.066228460801314,17.74945396276582,25.662946763122825,14.15625660886676,17.795244402930674,25.87223850887438,14.430723345279006,11.141944723379607,18.165168449617795
graph463,10.799023789907114,10.799023789907114,10.799023789907132,46.59801904901683,54.667330216006704,36.665629999532385,27.83964538494701,42.3426600293178,59.96507028956728,38.89602988342568,30.098365993877263,46.73275933140224,59.39754181118523,38.724076914682726,29.531756252100806,45.967494592737765,60.070718710950054,39.041504260360895,30.377293617470503,46.98455363831921,59.983590247730426,38.97575201790731,46.88851392364007,54.6291389630851,35.71987976120209,28.853394931936084,43.87443852867076
graph220,32.04237679769863,32.04237679769863,32.04237679769863,56.98604453371141,75.9153586013825,61.15948002424412,43.950588943168064,52.82297055595768,81.8911741599042,64.86875217678595,49.353563245458965,57.30925368734465,82.63560829792439,65.74676595269985,50.1133343336666,57.166000702606134,82.2790160093546,65.34732512989719,49.880482313860036,57.45489005676808,80.90183169266042,63.76378507747068,57.09493651213262,62.470472849150205,48.67760836993333,33.721873680981666,49.261421299588406
graph462,23.390696775464708,23.390696775464708,23.39069677546463,58.89182211856403,84.37314314088188,65.40494153533211,53.263245885741306,57.010516326278946,77.62604498147316,57.59770555524465,45.30577105982667,52.68253041247751,82.41572550451572,62.97809753281432,50.2588161326737,55.014492183224796,77.29540484442691,57.10482444460511,44.703695051674245,52.105754913649804,77.36460981473444,57.27222666966679,52.266308459626686,44.42140108221241,33.4516146195165,31.825450750931957,44.8784061440896
graph461,29.592978669036356,29.592978669036356,29.592978669036356,52.03000380736997,74.43627968146575,59.075401246520165,46.692536681216616,47.26836137134323,71.98731824582599,55.67643084196576,44.34405104248793,45.43928393474128,75.52044491137146,59.41541935889673,46.97768485739978,47.49471342321316,72.71025391656401,56.41651726617257,44.84903599856979,45.77982392120598,72.69746240182131,56.40210821903068,45.81700881799019,62.7828658124274,49.33136467617065,41.554698988343794,41.36425186828699
graph460,22.61755627737551,22.61755627737551,22.61755627737551,91.97810610339953,97.89617755134782,68.96461897446623,64.48916726469707,91.58180564110077,97.38238450602759,69.05044490749182,64.34320792084468,90.81159477183593,97.37204715700626,69.16348321034124,64.43960148948425,90.82835014592933,97.00240138605103,67.54278360917552,63.04587374492849,89.86526087853258,96.99861440645476,67.54252628115395,89.8593566639549,95.49047995835818,61.39779714228778,58.18788466707561,86.28657069461644
graph219,4.32513134636501,4.32513134636501,4.32513134636501,14.606431600665825,20.972595667148532,12.300978167990193,10.164245616625061,14.879716421512754,22.868085548884913,13.219346936285872,10.440712792659975,17.0343855489269,22.0055948560308,12.995225227189152,10.338207125860215,15.518695910423938,22.991796745598876,13.54034946581939,10.629915126828852,16.67235374243117,23.02414587446228,13.538968917840366,16.7466175236128,20.139889466076646,11.347625981587667,9.073623711621076,15.423772865417732
graph218,18.292157885929253,18.292157885929253,18.292157885929253,33.43331978572289,74.22720934195998,59.09316473128086,46.08648563240876,35.76761112342256,65.56486578192516,49.24858914159182,38.609101074829624,28.583496643630973,71.37221927516187,55.067103588278435,41.93901826091037,32.631576330671955,61.5632700093993,45.787492555424095,36.73011348518563,27.04510450719927,61.426848727199925,45.66419845678881,26.985674541774895,57.73586021129302,42.96904875211302,35.04328334283721,23.74148455876231
graph217,18.460419445254004,18.460419445254004,18.460419445254004,35.209706523314715,46.94205108161066,33.220418073796154,30.106285222541235,27.204569735223323,48.1256116024437,33.48225909328805,29.518773218412527,25.8893203051744,59.08746866154642,41.38002991019772,34.7367531166456,30.73568294030275,60.97916061177834,42.237830576482935,34.65877299008512,31.50706463463644,60.760578068144476,42.042713204768525,31.207010727811145,51.78189131887628,35.85166762605542,29.524281254328432,26.915451891454506
graph459,3.794967293975943,3.794967293975943,3.794967293975915,8.46218476540593,14.805403446291773,9.39550323663584,7.2396218194410915,8.182802696199648,15.253042085517556,9.528647174656655,7.5097060079393945,9.017532052246423,14.855490600887943,9.348335849337007,7.307888814942704,8.468413663433363,15.121065898733885,9.536062813154517,7.502976385306483,8.84954699821607,15.14314016656877,9.541739239648376,8.87855084379854,15.459030720911068,9.732960518010128,7.69688189275571,9.169028956477057
graph216,14.465467269258673,14.465467269258673,14.465467269258689,54.463807797088236,60.48374175768494,46.99004084733933,43.31409982877002,48.31961022049448,63.91540064529568,49.20989517462798,45.405456514053526,50.713830428983385,66.13894282599338,48.45777877469561,44.715944175205316,50.13750630226609,73.79803147721728,52.83541163241661,50.21247760850014,55.932496600965955,73.81354629228782,52.851062300024566,55.94873615069569,69.96478105210275,49.50459041271766,47.33089303316121,54.07514031383873
graph458,3.8546997584966416,3.8546997584966416,3.854699758496627,8.519341502253159,15.694607890976334,10.158020326583102,7.524766398800578,8.046724598564637,15.715868547937905,10.279222951593344,7.3361795469685935,8.615921829624062,15.843142484914608,10.41370752712484,7.4918487569874905,8.276123591154173,15.936616997957481,10.583771094871727,7.487614500020132,8.7111326900811,15.911408345300213,10.558827449673478,8.725596351226741,16.245421005046452,10.773533948701857,7.575927444471893,9.081852257187139
graph215,4.454616849605436,4.454616849605436,4.454616849605436,9.8834926949318,18.437264533401844,10.949764045586829,8.642625987137533,8.97102613627868,18.611427745563255,11.029423555221578,8.348698311379243,9.970015029739944,18.583175273480006,11.041103472872376,8.53818751943874,9.501365069813552,18.883115891285716,11.213915137736599,8.427738972948541,10.211755714641408,18.84611186359143,11.186054903349616,10.220079894656967,17.26689552795658,10.24439285934282,7.88711130003046,9.42640021725358
graph457,8.546323672281266,8.546323672281266,8.546323672281266,18.0010751952563,28.213626285819444,21.933568256149304,17.085235156310322,16.251276020190335,29.609962839915642,22.505892623336983,17.513997677771993,19.145047570652007,29.423549315017546,22.4942960673726,17.4911721979209,17.688710189973214,29.73455347331932,22.848995563264435,17.69097257848257,19.173518777495723,29.67377738955853,22.81562278208375,19.15582450432554,28.363483305124245,21.886956276509892,16.82988765168983,19.08240006650683
graph699,9.045908115176061,9.045908115176061,9.045908115176061,20.799240481105944,28.35042049689795,18.071678633839632,13.15845158698013,20.544436678838427,29.428339679830888,19.170234694431482,13.895075039029365,21.64128893329971,29.135086059771975,18.913674354954242,13.562975560991521,21.10305945482939,28.843472695277363,19.074220290147494,13.771494937180808,21.282211873729363,28.87644344942434,19.08993097560684,21.280010074919275,31.551617549083637,22.020799200247488,15.937164341169039,23.716297220616518
graph214,11.605169956458402,11.605169956458402,11.605169956458433,26.731809359443766,55.048337487089015,29.59425443156578,24.264098467000235,28.141080935978373,64.30740979965978,34.61005039402866,27.9308865973462,26.177062301182858,63.38985737102073,32.21328179701305,25.676351583800333,26.565826234738747,63.6161630244596,35.1323032472958,28.47793392849114,25.82076260262567,63.58304389078873,35.118027813856905,25.812559201192908,61.982467365968,35.21661967053969,28.30579967194301,25.487406290796617
graph456,25.16279805675003,25.16279805675003,25.16279805675003,76.04499721791427,98.92979282044236,93.18619409485397,88.50149111154201,76.86292452664051,94.9068138361669,77.5262286681506,72.95086764501369,68.71644221994184,96.43260066527472,81.11243971624478,76.89301087238853,72.13295722849709,95.7035507437689,79.7097088040471,74.97694490580957,69.29465041787056,95.67165879289064,79.63795372108552,69.23795132039122,96.25924510243445,80.90535108723176,76.23941696704964,70.4789449158347
graph698,21.317821008740037,21.317821008740037,21.31782100874002,48.09928101197386,70.37061871899304,52.98243273467587,46.027483127178826,44.814425749534024,73.4771611924919,52.65401850330457,43.01007567883869,47.509409550288964,73.2788721120412,53.53921924040098,44.38397234128877,46.28611920290959,70.33785984127796,49.058107724361186,39.46459610555719,47.76720790048682,70.325583939548,48.908113456799654,47.37249534431966,53.94997737301599,33.29936442877534,24.250098615860427,40.827876947184855
graph213,29.564173537601423,29.56417353760145,29.564173537601423,29.67536503251803,70.44423977062972,50.876151627364976,44.78364552470377,32.85774518332334,62.65233519819016,49.98167421719894,42.82107229634148,23.803188454795336,67.87904471170081,50.17109889274675,42.638415354835224,26.96803758713791,64.32913773817329,52.628631025597464,44.65978498827125,24.524298141876898,63.96584218271813,52.47536860183699,24.364596999951484,53.28112315268564,48.49856277352963,43.05117792098907,22.91352584568086
graph455,5.874335295122395,5.874335295122395,5.874335295122413,13.391122751216608,25.567936226715815,17.286817164725534,11.637420784186267,11.992962987165418,25.99640987130543,17.34560933196718,11.237613790140188,13.504106002818043,25.941708857146633,17.35370607046392,11.2525460230358,12.956525459083537,26.676930540732773,18.083846205534986,11.838515977560519,13.816732626258954,26.686664897564803,18.076425071752542,13.873360422029728,26.056940339118327,17.6383158464824,11.428990295870193,13.022501749142682
graph697,7.924720026441707,7.9247200264416895,7.924720026441707,19.196312927111464,29.598485669187134,20.460007791075093,14.46044083822677,18.158527903005268,30.61149440122972,20.38887921174809,14.74175189374784,20.223013175768,30.670342505910458,20.463958224745284,14.791974538424709,19.5452507144288,30.22506059047653,20.331203390135233,14.784930186946257,20.068675268108464,30.20123156036709,20.300119087667635,20.091820803374308,30.64452888591446,20.33788200018038,14.358802551894852,20.482757441943885
graph212,7.251331496253512,7.251331496253512,7.251331496253524,39.5877430030168,45.64866590425957,29.31168501024623,20.312220831518754,35.397446343669195,49.89513751525465,31.31999906729869,22.962185990934337,40.24567165014605,48.8501351668681,30.14108934548666,21.397783767333234,38.33887580513179,50.31284715388751,31.618272975822514,23.265637516889274,40.973584271932936,50.29281350066712,31.626059334733924,40.98509284132768,50.53099939509257,32.07458228139424,24.154529202125747,41.9566119492635
graph454,11.930277651223935,11.930277651223935,11.930277651223935,30.460378318068955,50.77862350216884,30.245092711592957,21.81147752893092,35.07086568666946,48.84793719371846,29.321637713501335,20.955132379559576,32.76134301865475,46.98934281577385,28.25647884379813,20.09607389478108,31.46162944064595,45.64278672772474,27.866948729544777,19.9523972296243,31.17932051665242,45.11475096875094,27.633679996814053,30.953789055115617,43.01647030923345,27.637355658200647,20.64758361407825,31.074881680541004
graph696,25.162798056749246,25.162798056749246,25.162798056749246,54.73007062342583,84.46574368014672,68.10172713956824,60.20742349765279,53.36083198309359,91.61804541557632,69.97487975693352,53.10361178249343,50.244220705132946,94.39831759767709,73.640286188427,59.88726681185451,54.52425202528218,86.79739995737786,64.71686450600394,47.28335583485019,46.217890257640995,86.70652732062766,64.6242208819426,46.15321484229807,91.97687318952195,70.85675648817809,53.75799439447274,51.40716853800528
graph211,4.052504015239361,4.052504015239361,4.052504015239361,16.133716136400906,21.508532992678706,12.413353592906336,9.567996085951487,15.649167963482356,22.50995722831824,11.379989467592324,9.30211907263235,18.169231829720722,22.510180370396093,11.826129007481732,9.466814768703031,17.380387747132588,22.3127799557048,11.415187193938712,9.317629979634022,17.81427753925279,22.34192496039237,11.409616274968734,17.86551118245974,20.47869535702593,10.345076546389315,8.593429048708202,16.881298915106623
graph453,6.478544803656767,6.478544803656767,6.478544803656545,18.568303786749226,25.973019896075854,16.345403480311525,12.428822904970476,17.534903543232385,26.522945979953676,16.000160572129044,12.389834369888291,18.577502826065857,26.180384170859895,15.96714057209469,12.2105173937645,17.976459175233988,26.743799914338666,16.22251865236947,12.579309843264355,18.798673026024947,26.739266588088295,16.211537572000022,18.81670479214597,26.315297240704677,16.126884144407626,12.664541593352558,18.665090632309067
