GraphID,riskBasedDefence,defenceInDepth,behavioralDefender,minCut,betweennessCentralityWithInDegreeNodes,betweennessCentralityWithAdjacentNodes,betweennessCentralityWithMarkovBlanket,betweennessCentralityWithMinCut,harmonicCentralityWithInDegreeNodes,harmonicCentralityWithAdjacentNodes,harmonicCentralityWithMarkovBlanket,harmonicCentralityWithMinCut,degreeCentralityWithInDegreeNodes,degreeCentralityWithAdjacentNodes,degreeCentralityWithMarkovBlanket,degreeCentralityWithMinCut,katzCentralityWithInDegreeNodes,katzCentralityWithAdjacentNodes,katzCentralityWithMarkovBlanket,katzCentralityWithMinCut,TRCentralityWithInDegreeNodes,TRCentralityWithAdjacentNodes,TRCentralityWithMinCut,PRCentralityWithInDegreeNodes,PRCentralityWithAdjacentNodes,PRCentralityWithMarkovBlanket,PRCentralityWithMinCut
e_commerce,46.47385714810104,46.47385714810104,46.47385714810095,35.88196115700476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.1631976778104,89.1631976778104,76.10936073090924,34.46916612073947,77.0803410403314,77.0803410403314,65.11223505986348,28.250779533402635,76.69506846207014,76.69506846207014,28.117244087326032,80.5664561909327,80.5664561909327,71.67033072264775,29.191109636981604
graph79,10.091974647548673,10.091974647548673,10.091974647548732,21.893115739691734,32.323309564451925,21.9610037240527,18.458179022185146,20.167703057261964,35.58571135714417,22.572648344840562,17.624849177301975,21.572048449952657,36.526358105971234,23.124825434770145,18.190527103772418,21.35107149421562,34.09776061898161,21.61452294067916,16.88482465698671,21.26741770179963,34.054620989727276,21.5894373990081,21.267320098001218,35.37442359669293,22.445579066490875,17.271630798935043,21.175551019533064
graph70,26.838437105335565,26.838437105335565,26.83843710533555,54.91526493366036,62.67495144634726,52.89974529776779,46.85166241061416,59.25390769561306,68.83913700251443,48.125031963908974,39.48407790684342,57.57225155017858,67.08070121920943,45.74726877157224,37.18647291448715,56.69651089736373,68.18518561321642,47.6033880261578,38.834337164999006,57.505272180978025,68.20299317827396,47.63084191680766,57.52720677029698,66.76235764762669,46.30635025345563,38.049682720873456,56.44167824456393
HG2,56.54017914929216,56.54017914929218,56.54017914929216,57.593438985205694,66.84758243986734,55.214519046258026,49.826293154805384,54.42526244109575,73.27889071846346,67.61426231810728,55.432686061032356,55.58814919806775,84.50531712541773,74.84143721922626,60.8587128434393,58.603053387909654,84.03046670290856,76.42807443188204,63.220516896688025,60.02789667611079,83.99293855404714,76.44395267756566,60.02925580594,69.42809804235932,59.289962719064214,54.66121458772384,56.63888779978718
HG1,86.46647167633873,86.46647167633873,86.46647167633873,87.61151033556166,50.45871549232711,55.960762022279354,55.92392231364087,50.45871549232711,50.45871549232711,55.960762022279354,55.92392231364087,50.45871549232711,96.9882759109835,94.5547240191741,87.6715537159008,85.45690462559078,93.39016761545635,93.7690078487773,82.07884989158103,80.1153115381198,93.29302542117979,93.69527342009134,79.99808678128592,93.29302542117979,93.69527342009134,81.9206889858596,79.99808678128592
graph76,13.491502184322943,13.491502184322943,13.491502184322846,24.137686143531177,44.12489378219074,33.79040552217455,27.05535449666464,25.297868427524424,38.7964624800791,27.010824166962788,21.017911288993854,24.301868036200602,35.88196115700436,25.2505180550679,19.87191488421178,24.348107639408497,37.63386138726268,26.047300971820025,20.280418717682206,24.064101346267,37.67101543468255,26.06798480533854,24.080497737293076,36.099944808067704,25.349793646986296,19.90693522444811,23.97939687881886
graph75,13.67568030887817,13.67568030887817,13.675680308877972,10.893933295039746,38.98513880616365,25.777996868555814,21.254437334878375,7.59598455777004,46.36437047047291,29.862041661955036,23.70084626883953,10.431797942626327,47.54220740599962,30.72169324338261,24.235946842112597,10.86969395750031,44.603570344334216,28.635837151410154,22.609806749046594,10.201977716137268,44.48197071095038,28.558552295060764,10.180756933250223,45.826520597268235,29.43628799453596,23.40813140884669,10.306284336088657
graph78,10.406741598272925,10.406741598272925,10.406741598272925,14.096643226512809,35.565201672312014,26.861934385632246,22.243963561545126,12.555174984077,36.79296362053244,23.968833576323554,17.715262275219924,13.428737968643864,36.52635810597187,23.955097819177197,17.738754818377135,13.43266981230011,36.1137837992972,23.365558716143553,17.008478915438964,13.462201233568383,36.19975509028796,23.410940507014725,13.464212137772666,37.22864301488627,24.142058093280454,17.69423151730391,13.676272853127228
graph77,12.801782898845163,12.801782898845163,12.801782898845163,22.90706678414895,45.336639698237654,31.436901241390547,26.90326302610823,24.121043439156995,48.576515475946344,30.159223885936736,23.530449562909254,23.46573794315631,45.45044361797514,28.105189435274454,22.120848778063962,22.953192190562596,48.02045209926965,29.69943091614391,23.13870362705349,23.40768592669774,48.05008412237668,29.718769685492312,23.41526921637328,48.60522629128979,30.106465541412298,23.596054814328728,23.554726803676385
AWS03,7.353895386598961,7.353895386598961,7.353895386598961,21.890654402686078,3.6699211901816837,3.45019821177715,2.2245296886547186,2.5771489296958587,7.343483144354571,4.87461345739019,3.950230889399419,9.24886055268176,15.01629666269621,12.792538050870355,10.262480840647012,16.0673969128091,17.545231331727308,16.0379953553226,12.486729905087728,18.00203194502447,17.597520406155525,16.088074858177045,18.060655944106706,15.946648874956173,14.528081059821737,11.678877271861126,16.256770043577614
